ad_id,country,age_range,male,female,unknown
1027246322455200,CZ,45-54,1734.0,672.0,17.0
1027246322455200,CZ,55-64,922.0,524.0,8.0
7809151069120070,CZ,18-24,3239.0,1443.0,35.0
7809151069120070,CZ,25-34,9884.0,2846.0,53.0
7809151069120070,CZ,35-44,6670.0,1741.0,44.0
7809151069120070,CZ,45-54,5331.0,1799.0,37.0
7809151069120070,CZ,55-64,2508.0,1351.0,21.0
1416308669069129,CZ,55-64,737.0,618.0,3.0
1416308669069129,CZ,18-24,8964.0,5464.0,267.0
1416308669069129,CZ,25-34,16520.0,7071.0,167.0
1416308669069129,CZ,35-44,5479.0,2468.0,53.0
1416308669069129,CZ,45-54,2669.0,1545.0,33.0
1447153479271935,CZ,18-24,686.0,67.0,
1447153479271935,CZ,25-34,1961.0,246.0,13.0
1447153479271935,CZ,35-44,1692.0,352.0,14.0
1447153479271935,CZ,45-54,1674.0,509.0,12.0
1447153479271935,CZ,55-64,749.0,367.0,3.0
1007330081125714,CZ,18-24,4652.0,2701.0,42.0
1007330081125714,CZ,25-34,12159.0,5495.0,58.0
1007330081125714,CZ,35-44,10466.0,3768.0,85.0
1007330081125714,CZ,45-54,6013.0,2854.0,44.0
1007330081125714,CZ,55-64,2438.0,1592.0,13.0
351322491404510,CZ,18-24,5668.0,2191.0,41.0
351322491404510,CZ,25-34,17683.0,4734.0,74.0
351322491404510,CZ,35-44,6605.0,1802.0,61.0
351322491404510,CZ,45-54,3700.0,1406.0,37.0
351322491404510,CZ,55-64,1420.0,819.0,8.0
770130751711730,CZ,18-24,306.0,36.0,
770130751711730,CZ,25-34,908.0,137.0,6.0
770130751711730,CZ,35-44,1220.0,265.0,8.0
770130751711730,CZ,45-54,1596.0,587.0,11.0
770130751711730,CZ,55-64,793.0,450.0,5.0
1632626610855040,CZ,18-24,1574.0,186.0,13.0
1632626610855040,CZ,25-34,6661.0,1040.0,30.0
1632626610855040,CZ,35-44,5521.0,1409.0,45.0
1632626610855040,CZ,45-54,4297.0,1559.0,45.0
1632626610855040,CZ,55-64,1425.0,707.0,13.0
1893425187798842,CZ,18-24,9338.0,7187.0,256.0
1893425187798842,CZ,25-34,19196.0,9853.0,164.0
1893425187798842,CZ,35-44,7180.0,3120.0,66.0
1893425187798842,CZ,45-54,3521.0,1865.0,41.0
1893425187798842,CZ,55-64,814.0,573.0,5.0
1154717812262246,CZ,18-24,9467.0,6892.0,306.0
1154717812262246,CZ,25-34,19298.0,10012.0,170.0
1154717812262246,CZ,35-44,6957.0,3404.0,65.0
1154717812262246,CZ,45-54,3425.0,2145.0,43.0
1154717812262246,CZ,55-64,783.0,682.0,1.0
1733572470505701,CZ,18-24,2374.0,1232.0,20.0
1733572470505701,CZ,25-34,5159.0,1807.0,16.0
1733572470505701,CZ,35-44,2089.0,628.0,25.0
1733572470505701,CZ,45-54,879.0,383.0,8.0
1733572470505701,CZ,55-64,280.0,147.0,2.0
433485299600247,CZ,45-54,333.0,161.0,1.0
433485299600247,CZ,18-24,255.0,33.0,1.0
433485299600247,CZ,25-34,479.0,90.0,4.0
433485299600247,CZ,35-44,398.0,107.0,5.0
433485299600247,CZ,55-64,129.0,90.0,
765907478946538,CZ,18-24,6348.0,5900.0,93.0
765907478946538,CZ,25-34,13625.0,7550.0,93.0
765907478946538,CZ,35-44,7858.0,4304.0,76.0
765907478946538,CZ,45-54,4837.0,3240.0,51.0
765907478946538,CZ,55-64,1907.0,1540.0,13.0
1525390591383137,CZ,18-24,975.0,111.0,7.0
1525390591383137,CZ,25-34,2471.0,365.0,12.0
1525390591383137,CZ,35-44,2046.0,539.0,16.0
1525390591383137,CZ,45-54,1910.0,842.0,12.0
1525390591383137,CZ,55-64,879.0,564.0,5.0
1364996988236320,CZ,18-24,10641.0,4944.0,90.0
1364996988236320,CZ,25-34,24518.0,8551.0,118.0
1364996988236320,CZ,35-44,12446.0,3749.0,93.0
1364996988236320,CZ,45-54,6750.0,2370.0,54.0
1364996988236320,CZ,55-64,2188.0,1014.0,12.0
